zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
85321,176,Ajo Improvement Co,AZ,Bundled,Investor Owned,0.08789049919484701,0,0.09388714733542321
36560,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36513,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36280,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35473,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35229,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36375,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36370,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35555,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
